"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2022","8.293","8.421","9.413","8.015","27.79K","-0.16%"
"Jul 17, 2022","8.306","7.167","8.413","7.082","-","16.48%"
"Jul 10, 2022","7.131","6.380","7.135","6.021","-","18.18%"
"Jul 03, 2022","6.034","5.712","6.381","5.325","311.35K","5.31%"
"Jun 26, 2022","5.730","6.126","6.833","5.357","300.35K","-7.88%"
"Jun 19, 2022","6.220","6.800","6.976","6.021","290.51K","-10.43%"
"Jun 12, 2022","6.944","8.920","8.950","6.881","702.30K","-21.54%"
"Jun 05, 2022","8.850","8.750","9.664","8.016","763.91K","3.84%"
"May 29, 2022","8.523","8.874","9.057","8.118","356.46K","-2.34%"
"May 22, 2022","8.727","8.079","9.401","7.851","136.07K","7.97%"
"May 15, 2022","8.083","7.700","8.548","7.663","341.48K","5.48%"
"May 08, 2022","7.663","7.843","8.287","6.430","616.07K","-4.72%"
"May 01, 2022","8.043","7.412","8.996","7.219","725.03K","11.03%"
"Apr 24, 2022","7.244","6.414","7.422","6.345","216.12K","10.87%"
"Apr 17, 2022","6.534","7.367","8.065","6.438","731.30K","-10.49%"
"Apr 10, 2022","7.300","6.394","7.346","6.247","836.97K","16.28%"
"Apr 03, 2022","6.278","5.745","6.538","5.650","661.63K","9.76%"
"Mar 27, 2022","5.720","5.551","5.832","5.255","313.74K","2.67%"
"Mar 20, 2022","5.571","4.909","5.577","4.748","356.98K","14.56%"
"Mar 13, 2022","4.863","4.705","5.001","4.459","335.27K","2.92%"
"Mar 06, 2022","4.725","5.041","5.184","4.450","466.97K","-5.80%"
"Feb 27, 2022","5.016","4.620","5.045","4.340","498.58K","12.21%"
"Feb 20, 2022","4.470","4.594","4.940","4.293","93.36K","0.88%"
"Feb 13, 2022","4.431","4.103","4.793","4.040","536.43K","12.43%"
"Feb 06, 2022","3.941","4.384","4.468","3.876","643.64K","-13.80%"
"Jan 30, 2022","4.572","4.867","5.572","4.487","809.27K","-1.44%"
"Jan 23, 2022","4.639","3.915","7.346","3.876","122.05K","16.00%"
"Jan 16, 2022","3.999","4.356","4.390","3.781","340.20K","-6.17%"
"Jan 09, 2022","4.262","4.144","4.879","3.977","738.36K","8.84%"
"Jan 02, 2022","3.916","3.702","3.980","3.638","445.85K","4.99%"
"Dec 26, 2021","3.730","3.958","4.261","3.536","204.04K","-0.03%"
"Dec 19, 2021","3.731","3.645","4.041","3.599","425.87K","1.11%"
"Dec 12, 2021","3.690","3.975","4.085","3.617","512.57K","-5.99%"
"Dec 05, 2021","3.925","3.826","3.965","3.630","627.67K","-5.01%"
"Nov 28, 2021","4.132","5.199","5.200","4.042","661.74K","-24.14%"
"Nov 21, 2021","5.447","4.910","5.562","4.648","190.74K","7.54%"
"Nov 14, 2021","5.065","4.903","5.394","4.713","625.50K","5.72%"
"Nov 07, 2021","4.791","5.605","5.663","4.725","800.40K","-13.14%"
"Oct 31, 2021","5.516","5.310","5.876","5.116","738.89K","1.66%"
"Oct 24, 2021","5.426","5.468","6.291","5.401","427.41K","2.77%"
"Oct 17, 2021","5.280","5.299","5.379","4.825","642.72K","-2.40%"
"Oct 10, 2021","5.410","5.695","5.964","5.168","956.68K","-2.79%"
"Oct 03, 2021","5.565","5.628","6.466","5.393","1.11M","-0.96%"
"Sep 26, 2021","5.619","5.191","6.280","5.176","717.25K","9.32%"
"Sep 19, 2021","5.140","5.015","5.183","4.735","581.38K","0.69%"
"Sep 12, 2021","5.105","4.945","5.650","4.879","1.07M","3.38%"
"Sep 05, 2021","4.938","4.710","5.058","4.557","794.29K","4.80%"
"Aug 29, 2021","4.712","4.499","4.727","4.215","843.47K","7.83%"
"Aug 22, 2021","4.370","3.862","4.397","3.838","263.64K","13.48%"
"Aug 15, 2021","3.851","3.846","3.988","3.734","558.68K","-0.26%"
"Aug 08, 2021","3.861","4.168","4.185","3.846","809.41K","-6.74%"
"Aug 01, 2021","4.140","3.973","4.205","3.915","652.78K","5.77%"
"Jul 25, 2021","3.914","4.025","4.187","3.855","380.58K","-3.60%"
"Jul 18, 2021","4.060","3.703","4.071","3.686","530.53K","10.51%"
"Jul 11, 2021","3.674","3.673","3.769","3.584","576.04K","0.00%"
"Jul 04, 2021","3.674","3.704","3.822","3.520","541.08K","-0.70%"
"Jun 27, 2021","3.700","3.502","3.814","3.485","660.21K","5.84%"
"Jun 20, 2021","3.496","3.206","3.511","3.137","344.00K","8.74%"
"Jun 13, 2021","3.215","3.315","3.369","3.166","633.81K","-2.46%"
"Jun 06, 2021","3.296","3.109","3.330","3.033","825.19K","6.43%"
"May 30, 2021","3.097","3.036","3.150","3.010","526.95K","3.72%"
"May 23, 2021","2.986","2.850","3.042","2.832","320.02K","2.75%"
"May 16, 2021","2.906","3.019","3.150","2.894","541.81K","-1.86%"
"May 09, 2021","2.961","2.970","3.016","2.881","470.41K","0.10%"
"May 02, 2021","2.958","2.938","3.001","2.900","479.98K","0.92%"
"Apr 25, 2021","2.931","2.710","2.971","2.700","303.52K","7.36%"
"Apr 18, 2021","2.730","2.707","2.779","2.657","478.42K","1.87%"
"Apr 11, 2021","2.680","2.530","2.700","2.529","669.80K","6.10%"
"Apr 04, 2021","2.526","2.593","2.616","2.453","684.22K","-4.28%"
