date,crude oil, natural gasoline, isobutane, normal butane, propane, natural gas,ethane
Jan-2002,3.360,4.099,4.115,3.494,3.186,2.258,2.858
Feb-2002,3.499,4.365,4.401,3.755,3.416,2.311,2.969
Mar-2002,4.085,5.278,4.922,4.289,4.145,3.032,3.887
Apr-2002,4.423,5.788,5.414,4.763,4.544,3.428,4.200
May-2002,4.385,5.647,5.096,4.682,4.447,3.505,4.128
Jun-2002,4.160,5.315,4.869,4.384,4.102,3.225,3.519
Jul-2002,4.443,5.442,5.272,4.575,4.057,2.990,3.450
Aug-2002,4.597,5.758,5.726,5.012,4.514,3.087,3.774
Sep-2002,4.887,6.283,6.291,5.569,5.114,3.553,4.360
Oct-2002,4.750,6.346,6.363,5.675,5.224,4.133,4.562
Nov-2002,4.170,6.014,6.225,5.498,5.295,4.042,4.409
Dec-2002,4.917,6.603,6.358,6.208,5.729,4.743,5.037
Jan-2003,5.394,7.710,7.895,7.203,6.571,5.461,5.722
Feb-2003,5.629,8.925,8.047,7.767,7.885,7.863,6.987
Mar-2003,5.231,7.929,8.102,6.969,6.751,5.944,6.678
Apr-2003,4.313,6.650,6.422,5.471,5.489,5.277,5.525
May-2003,4.450,6.025,6.298,5.579,5.941,5.813,6.019
Jun-2003,4.749,6.439,6.561,5.779,6.093,5.829,6.327
Jul-2003,4.896,6.482,6.376,5.736,5.780,5.027,5.593
Aug-2003,5.142,6.932,6.412,6.129,5.986,4.986,5.557
Sep-2003,4.672,6.387,6.305,5.951,5.679,4.621,5.337
Oct-2003,5.102,6.839,6.976,6.624,6.057,4.634,5.802
Nov-2003,4.961,7.139,7.042,6.928,5.965,4.492,5.740
Dec-2003,5.152,7.644,7.373,7.366,6.856,6.140,6.691
Jan-2004,5.375,8.922,8.288,8.171,8.074,6.151,7.206
Feb-2004,5.322,7.943,6.997,6.850,7.218,5.376,5.994
Mar-2004,5.827,8.161,7.594,7.012,6.381,5.396,6.184
Apr-2004,5.752,8.471,7.504,7.160,6.636,5.715,6.314
May-2004,6.538,9.310,8.103,7.902,7.408,6.335,7.051
Jun-2004,6.068,8.854,8.156,7.783,7.336,6.267,7.142
Jul-2004,6.616,9.691,8.938,8.391,8.124,5.935,7.542
Aug-2004,7.419,10.385,9.293,9.078,9.184,5.408,8.598
Sep-2004,7.480,10.469,9.535,9.226,8.731,5.167,7.675
Oct-2004,8.581,11.973,11.010,10.312,9.914,6.379,9.359
Nov-2004,7.423,11.382,10.880,10.182,9.449,6.187,9.810
Dec-2004,6.835,9.902,9.433,9.020,8.521,6.582,8.198
Jan-2005,7.635,10.366,9.673,9.009,8.042,6.152,7.492
Feb-2005,7.855,10.770,9.968,9.269,8.288,6.138,7.617
Mar-2005,9.153,12.068,10.563,9.935,9.604,6.956,8.526
